,X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster,distlobos,lobos
161,770,49127,2020-05-06,04:00:00,-64.725334,-54.804268,389101.9174,3925624.437,6135.15168162847,0,153,2772.59306457733,0
162,776,49127,2020-05-07,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
163,774,49127,2020-05-07,04:00:00,-64.725334,-54.805332,389104.8314,3925506.058,6037.95171139138,0,153,2842.08000615511,0
164,778,49127,2020-05-08,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120,2953.08070847133,0
165,780,49127,2020-05-08,16:00:00,-64.7424,-54.80213,387999.1778,3925835.175,6995.23034170817,0,159,3630.71787331627,0
166,783,49127,2020-05-09,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
167,781,49127,2020-05-09,04:00:00,-64.725334,-54.805332,389104.8314,3925506.058,6037.95171139138,0,153,2842.08000615511,0
168,785,49127,2020-05-10,04:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
169,787,49127,2020-05-10,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
170,791,49127,2020-05-11,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
171,789,49127,2020-05-11,04:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
172,2,49138,2020-01-14,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
173,5,49138,2020-01-14,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
174,9,49138,2020-01-15,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
175,13,49138,2020-01-15,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
176,17,49138,2020-01-16,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
177,22,49138,2020-01-16,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
178,27,49138,2020-01-17,04:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
