X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster
225,49138,2020-02-11,16:00:00,-64.67413,-54.8608,392543.0807,3919414.493,67.2012018044543,1,8
220,49138,2020-02-11,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
235,49138,2020-02-12,16:00:00,-64.680534,-54.859734,392129.223,3919523.254,21.0145042350179,1,4
229,49138,2020-02-12,04:00:00,-64.67413,-54.861866,392545.9155,3919295.889,54.1789681757994,1,10
241,49138,2020-02-13,16:00:00,-64.680534,-54.859734,392129.223,3919523.254,21.0145042350179,1,4
251,49138,2020-02-14,16:00:00,-64.680534,-54.8576,392123.5267,3919760.683,117.71712145324,1,26
245,49138,2020-02-14,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
261,49138,2020-02-16,04:00:00,-64.67947,-54.861866,392203.2004,3919287.685,6.36743167842134,1,6
265,49138,2020-02-16,16:00:00,-64.68266,-54.859734,391992.7717,3919519.978,119.974487581847,1,14
273,49138,2020-02-17,16:00:00,-64.68266,-54.858665,391989.9146,3919638.915,146.320405223661,1,14
269,49138,2020-02-17,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
282,49138,2020-02-18,16:00:00,-64.680534,-54.858665,392126.3695,3919642.191,46.9879661166844,1,26
278,49138,2020-02-18,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
285,49138,2020-02-19,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
289,49138,2020-02-19,16:00:00,-64.6752,-54.865067,392485.762,3918938.103,107.534899589278,1,32
296,49138,2020-02-20,16:00:00,-64.67627,-54.862934,392411.4164,3919173.778,44.0427667206927,1,21
292,49138,2020-02-20,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
302,49138,2020-02-21,16:00:00,-64.680534,-54.8576,392123.5267,3919760.683,117.71712145324,1,26
297,49138,2020-02-21,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
309,49138,2020-02-22,16:00:00,-64.67627,-54.8544,392388.6942,3920123.274,204.469445127377,1,19
305,49138,2020-02-22,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1,28
311,49138,2020-02-23,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
317,49138,2020-02-24,04:00:00,-64.67947,-54.861866,392203.2004,3919287.685,6.36743167842134,1,6
322,49138,2020-02-24,16:00:00,-64.73493,-54.8544,388623.2862,3920031.592,3501.00977436484,0,62
331,49138,2020-02-25,16:00:00,-64.67413,-54.8608,392543.0807,3919414.493,67.2012018044543,1,8
325,49138,2020-02-25,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1,10
